DEBUG:root:200 HOPKINS ST, SAN MARCOS, TX 78666
DEBUG:root:2005 TECHNOLOGY WAY, SAN MARCOS, TX 78666
DEBUG:root:5602 CENTRAL TEXAS DR, SAN MARCOS, TX 78666
DEBUG:root:1600 IH 35, SAN MARCOS, TX 78666
DEBUG:root:813 EASTON DR, SAN MARCOS, TX 78666
DEBUG:root:205 SB, SAN MARCOS, TX 78666
DEBUG:root:317 WOODS ST, SAN MARCOS, TX 78666
DEBUG:root:2600 HUNTER RD, SAN MARCOS, TX 78666
DEBUG:root:312 HOPKINS ST, SAN MARCOS, TX 78666
DEBUG:root:1180 THORPE LN, SAN MARCOS, TX 78666
DEBUG:root:HUNTER RD, SAN MARCOS, TX 78666
DEBUG:root:HWY 80, SAN MARCOS, TX 78666
DEBUG:root:800 CHESTNUT ST, SAN MARCOS, TX 78666
DEBUG:root:1004 ACCESS RD, SAN MARCOS, TX 78666
DEBUG:root:100 CHAPARRAL RD, SAN MARCOS, TX 78666
DEBUG:root:211 GUADALUPE ST, SAN MARCOS, TX 78666
DEBUG:root:200 QUAIL CREEK DR, SAN MARCOS, TX 78666
DEBUG:root:525 HUTCHISON ST, SAN MARCOS, TX 78666
DEBUG:root:501 HOPKINS ST, SAN MARCOS, TX 78666
DEBUG:root:204 OAKDALE DR, SAN MARCOS, TX 78666
DEBUG:root:2301 IH 35, SAN MARCOS, TX 78666
DEBUG:root:1942 IH 35, SAN MARCOS, TX 78666
DEBUG:root:205 NB, SAN MARCOS, TX 78666
DEBUG:root:204 NB, SAN MARCOS, TX 78666
DEBUG:root:THORPE LN, SAN MARCOS, TX 78666
DEBUG:root:204 OAKDALE DR, SAN MARCOS, TX 78666
DEBUG:root:300 C ALLEN PKWY, SAN MARCOS, TX 78666
DEBUG:root:E ACCESS RD, SAN MARCOS, TX 78666
DEBUG:root:142 LBJ DR, SAN MARCOS, TX 78666
DEBUG:root:EXIT 206 NB, SAN MARCOS, TX 78666
DEBUG:root:1250 IH 35, SAN MARCOS, TX 78666
DEBUG:root:1550 IH 35, SAN MARCOS, TX 78666
DEBUG:root:1207 IH 35, SAN MARCOS, TX 78666
DEBUG:root:1200 THORPE LN, SAN MARCOS, TX 78666
DEBUG:root:206 SB, SAN MARCOS, TX 78666
DEBUG:root:700 BARNES DR, SAN MARCOS, TX 78666
DEBUG:root:300 TRESTLE TREE, SAN MARCOS, TX 78666
DEBUG:root:S LBJ DR, SAN MARCOS, TX 78666
DEBUG:root:1901 IH 35, SAN MARCOS, TX 78666
DEBUG:root:210 ACCESS RD, SAN MARCOS, TX 78666
DEBUG:root:201 NB, SAN MARCOS, TX 78666
DEBUG:root:STAPLES RD, SAN MARCOS, TX 78666
DEBUG:root:1720 OLD RANCH ROAD 12, SAN MARCOS, TX 78666
DEBUG:root:228 SIERRA CIR, SAN MARCOS, TX 78666
DEBUG:root:1720 OLD RANCH ROAD 12, SAN MARCOS, TX 78666
DEBUG:root:1600 IH 35, SAN MARCOS, TX 78666
DEBUG:root:1900 MEDICAL PKWY, SAN MARCOS, TX 78666
DEBUG:root:111 MIMOSA CIR, SAN MARCOS, TX 78666
DEBUG:root:1402 HAMILTON AVE, SAN MARCOS, TX 78666
DEBUG:root:SHERBARB ST, SAN MARCOS, TX 78666
DEBUG:root:WONDER WORLD DR, SAN MARCOS, TX 78666
DEBUG:root:1012 CHEATHAM ST, SAN MARCOS, TX 78666
DEBUG:root:442 STAGECOACH TRL, SAN MARCOS, TX 78666
DEBUG:root:1105 IH 35, SAN MARCOS, TX 78666
DEBUG:root:155 WONDER WORLD DR, SAN MARCOS, TX 78666
DEBUG:root:2601 RATTLER RD, SAN MARCOS, TX 78666
DEBUG:root:211 SAN ANTONIO ST, SAN MARCOS, TX 78666
DEBUG:root:1000 RIVER RD, SAN MARCOS, TX 78666
DEBUG:root:LOS SANTOS DR, SAN MARCOS, TX 78666
